company_id,company_name,industry,region,trial_start_date,subscription_status,current_plan_name,current_seat_count,organisation_size_band,sales_channel,customer_success_owner,created_at,updated_at
co_0001,Lancaster Community Library,Library,London,2024-06-09,trial,Medium,264,101-500,self_serve,Jacob Turner,2024-06-09T17:16:00,2026-02-04T12:41:00
co_0002,Westfield Training,Private Education,South West,2024-09-04,active,Small,29,1-50,partner,Imogen Davies,2024-08-27T11:43:00,2026-03-02T08:27:00
co_0003,York University,University,West Midlands,2024-12-16,trial,Large,585,501-1000,self_serve,Ben Whitmore,2024-12-08T16:21:00,2026-05-22T10:32:00
co_0004,Summit Training,Training Provider,East Midlands,2025-04-05,active,Small,97,51-100,direct_sales,Daniel Hughes,2025-03-28T10:14:00,2026-04-30T16:45:00
co_0005,Fairfield Grammar School,School,Northern Ireland,2026-04-06,active,Small,61,51-100,partner,George Bennett,2026-03-31T13:23:00,2026-05-10T09:05:00
co_0006,Northbridge Learning Group,Private Education,London,2025-07-17,active,Small,74,51-100,partner,Ella Thompson,2025-07-14T14:37:00,2025-07-31T15:34:00
co_0007,Oxford Libraries,Library,South West,2025-09-06,trial,Small,55,51-100,public_sector_framework,Farah Malik,2025-09-02T17:36:00,2026-04-04T09:06:00
co_0008,Rowan College,School,Yorkshire and the Humber,2026-03-06,trial,Medium,175,101-500,self_serve,,2026-03-01T12:59:00,2026-05-25T09:34:00
co_0009,Belfast Library Service,Library,London,2025-01-09,active,Medium,135,101-500,self_serve,Jacob Turner,2025-01-11T15:48:00,2026-02-22T14:16:00
co_0010,Cambridge Knowledge Hub,Library,Northern Ireland,2025-01-21,active,Medium,207,101-500,direct_sales,Ben Whitmore,2025-01-21T17:17:00,2025-08-05T17:25:00
co_0011,Cotswold Training,Private Education,Yorkshire and the Humber,2026-05-13,active,Small,18,1-50,public_sector_framework,Amelia Clarke,2026-05-11T18:34:00,2026-06-29T12:13:00
co_0012,Bridgewater Education Partnership,Other,East of England,2025-06-24,active,Small,50,1-50,inbound,Hannah Roberts,2025-06-19T09:55:00,2026-03-10T15:29:00
co_0013,York University North,University,South West,2024-07-02,trial,Large,911,501-1000,direct_sales,Daniel Hughes,2024-06-30T12:41:00,2025-07-28T14:56:00
co_0014,Bridgewater Learning Group,Training Provider,Scotland,2024-05-22,active,Medium,148,101-500,direct_sales,George Bennett,2024-05-24T17:43:00,2025-10-21T10:06:00
co_0015,Kingfisher Training,Private Education,London,2024-08-08,active,Medium,107,101-500,self_serve,,2024-08-08T15:45:00,2025-12-22T11:05:00
co_0016,Northbridge Academy,School,North East,2025-09-23,active,Medium,245,101-500,direct_sales,Daniel Hughes,2025-09-23T13:49:00,2026-04-08T16:16:00
co_0017,Reading Higher Education Centre,University,South West,2023-11-17,trial,Medium,181,101-500,self_serve,Jacob Turner,2023-11-13T12:05:00,2026-03-18T08:18:00
co_0018,Abbey Academy,School,South East,2024-03-21,active,Medium,272,101-500,public_sector_framework,Farah Malik,2024-03-21T15:42:00,2025-09-15T08:02:00
co_0019,Summit Grammar School,School,North East,2025-01-17,trial,Medium,224,101-500,direct_sales,Ella Thompson,2025-01-15T13:37:00,2025-11-15T08:54:00
co_0020,Oxford Higher Education Centre,University,South East,2023-09-20,trial,Medium,232,101-500,partner,Farah Malik,2023-09-11T18:34:00,2025-07-30T10:22:00
co_0021,Cardiff Further Education College,Further Education,North West,2025-07-11,voluntary_churn,Medium,269,101-500,direct_sales,Farah Malik,2025-07-07T16:45:00,2025-10-14T10:36:00
co_0022,Oaklands Education Partnership,Other,East of England,2024-10-25,active,Small,69,51-100,partner,Amelia Clarke,2024-10-27T18:14:00,2026-06-04T13:45:00
co_0023,Tudor School,School,Wales,2025-12-01,paused,Medium,243,101-500,direct_sales,Farah Malik,2025-11-21T15:55:00,2025-12-15T12:36:00
co_0024,Harbour Learning Group,Private Education,Ireland,2024-05-08,trial,Medium,155,101-500,partner,Amelia Clarke,2024-05-07T09:15:00,2025-08-03T13:02:00
co_0025,Leeds Further Education College,Further Education,Wales,2025-08-19,trial,Medium,232,101-500,direct_sales,Ella Thompson,2025-08-12T08:49:00,2026-05-29T13:17:00
co_0026,Beechwood College,School,East of England,2025-11-05,active,Small,48,1-50,direct_sales,George Bennett,2025-10-29T18:56:00,2025-11-10T09:57:00
