subscription_event_id,company_id,event_type,plan_name,previous_plan_name,payment_date,subscription_start_date,sub_end_date,trial_end_date,billing_period,seat_count,monthly_recurring_revenue,invoice_amount,currency,payment_status,created_at
se_000001,co_0001,trial_start,Medium,,,,,2024-06-16,monthly,264,0,0,GBP,not_applicable,2024-06-09T19:43:00
se_000002,co_0002,trial_start,Small,,,,,2024-09-11,monthly,29,0,0,GBP,not_applicable,2024-09-04T19:56:00
se_000003,co_0002,converted,Small,,2024-09-07,2024-09-07,,,monthly,29,200,200,GBP,paid,2024-09-07T19:13:00
se_000004,co_0002,renewal,Small,,2024-10-07,2024-10-07,,,monthly,29,200,200,GBP,paid,2024-10-07T10:09:00
se_000005,co_0002,renewal,Small,,2024-11-07,2024-11-07,,,monthly,29,200,200,GBP,paid,2024-11-07T08:27:00
se_000006,co_0002,renewal,Small,,2024-12-07,2024-12-07,,,monthly,29,200,200,GBP,paid,2024-12-07T19:07:00
se_000007,co_0002,renewal,Small,,2025-01-07,2025-01-07,,,monthly,29,200,200,GBP,paid,2025-01-07T18:50:00
se_000008,co_0002,renewal,Small,,2025-02-07,2025-02-07,,,monthly,29,200,200,GBP,paid,2025-02-07T16:42:00
se_000009,co_0002,renewal,Small,,2025-03-07,2025-03-07,,,monthly,29,200,200,GBP,paid,2025-03-07T15:20:00
se_000010,co_0002,renewal,Small,,2025-04-27,2025-04-07,,,monthly,29,200,200,GBP,paid,2025-04-07T11:15:00
se_000011,co_0002,renewal,Small,,2025-05-07,2025-05-07,,,monthly,29,200,200,GBP,paid,2025-05-07T13:55:00
se_000012,co_0002,renewal,Small,,2025-06-07,2025-06-07,,,monthly,29,200,200,GBP,paid,2025-06-07T16:51:00
se_000013,co_0002,renewal,Small,,2025-07-07,2025-07-07,,,monthly,29,200,200,GBP,paid,2025-07-07T11:41:00
se_000014,co_0002,renewal,Small,,2025-08-07,2025-08-07,,,monthly,29,200,200,GBP,paid,2025-08-07T12:01:00
se_000015,co_0002,renewal,Small,,2025-09-07,2025-09-07,,,monthly,29,200,200,GBP,paid,2025-09-07T18:45:00
se_000016,co_0002,renewal,Small,,2025-10-07,2025-10-07,,,monthly,29,200,200,GBP,paid,2025-10-07T15:45:00
se_000017,co_0002,renewal,Small,,,2025-11-07,,,monthly,29,200,200,GBP,paid,2025-11-07T14:00:00
se_000018,co_0002,renewal,Small,,2025-12-07,2025-12-07,,,monthly,29,200,200,GBP,paid,2025-12-07T15:19:00
se_000019,co_0002,renewal,Small,,2026-01-07,2026-01-07,,,monthly,29,200,200,GBP,paid,2026-01-07T09:22:00
se_000020,co_0002,renewal,Small,,2026-02-07,2026-02-07,,,monthly,29,200,200,GBP,paid,2026-02-07T08:07:00
se_000021,co_0002,renewal,Small,,2026-03-07,2026-03-07,,,monthly,29,200,200,GBP,paid,2026-03-07T10:41:00
se_000022,co_0002,renewal,Small,,2026-04-07,2026-04-07,,,monthly,29,200,200,GBP,paid,2026-04-07T10:32:00
se_000023,co_0002,renewal,Small,,2026-05-07,2026-05-07,,,monthly,29,200,200,GBP,paid,2026-05-07T16:58:00
se_000024,co_0002,renewal,Small,,2026-06-07,2026-06-07,,,monthly,29,200,200,GBP,paid,2026-06-07T16:45:00
se_000025,co_0003,trial_start,Medium,,,,,2024-12-23,monthly,585,0,0,GBP,not_applicable,2024-12-16T18:08:00
se_000026,co_0004,trial_start,Small,,,,,2025-04-12,monthly,97,0,0,GBP,not_applicable,2025-04-05T12:14:00
se_000027,co_0004,converted,Small,,2025-04-12,2025-04-12,,,monthly,97,200,200,GBP,paid,2025-04-12T19:40:00
se_000028,co_0004,renewal,Small,,2025-05-12,2025-05-12,,,monthly,97,200,200,GBP,paid,2025-05-12T11:44:00
se_000029,co_0004,renewal,Small,,2025-06-12,2025-06-12,,,monthly,97,200,200,GBP,paid,2025-06-12T12:42:00
se_000030,co_0004,renewal,Small,,2025-07-12,2025-07-12,,,monthly,97,200,200,GBP,paid,2025-07-12T17:52:00
se_000031,co_0004,renewal,SMALL,,2025-08-12,2025-08-12,,,monthly,97,200,200,GBP,paid,2025-08-12T15:59:00
se_000032,co_0004,renewal,Small,,2025-09-12,2025-09-12,,,monthly,97,200,200,GBP,paid,2025-09-12T08:42:00
se_000033,co_0004,renewal,Small,,2025-10-12,2025-10-12,,,monthly,97,200,200,GBP,paid,2025-10-12T09:35:00
se_000034,co_0004,renewal,Small,,2025-11-12,2025-11-12,,,monthly,97,200,200,GBP,paid,2025-11-12T17:22:00
se_000035,co_0004,renewal,Small,,2025-12-12,2025-12-12,,,monthly,97,200,200,GBP,paid,2025-12-12T14:16:00
se_000036,co_0004,renewal,Small,,2026-01-12,2026-01-12,,,monthly,97,200,200,GBP,paid,2026-01-12T09:55:00
se_000037,co_0004,renewal,Small,,2026-02-26,2026-02-12,,,monthly,97,200,200,GBP,paid,2026-02-12T11:54:00
se_000038,co_0004,renewal,Small,,2026-03-12,2026-03-12,,,monthly,97,200,200,GBP,paid,2026-03-12T18:26:00
se_000039,co_0004,renewal,Small,,2026-04-12,2026-04-12,,,monthly,97,200,200,GBP,paid,2026-04-12T16:51:00
se_000040,co_0004,renewal,Small,,2026-05-12,2026-05-12,,,monthly,97,200,200,GBP,paid,2026-05-12T19:15:00
se_000041,co_0004,renewal,Small,,2026-06-12,2026-06-12,,,monthly,97,200,200,GBP,paid,2026-06-12T14:11:00
se_000042,co_0005,trial_start,Small,,,,,2026-04-13,monthly,61,0,0,GBP,not_applicable,2026-04-06T16:15:00
se_000043,co_0005,converted,Small,,2026-04-14,2026-04-14,,,monthly,61,200,200,GBP,paid,2026-04-14T16:29:00
se_000044,co_0005,renewal,Small,,2026-05-14,2026-05-14,,,monthly,61,200,200,GBP,paid,2026-05-14T09:09:00
se_000045,co_0005,renewal,Small,,2026-06-14,2026-06-14,,,monthly,61,200,200,GBP,paid,2026-06-14T08:26:00
se_000046,co_0006,trial_start,Small,,,,,2025-07-24,monthly,74,0,0,GBP,not_applicable,2025-07-17T14:04:00
se_000047,co_0006,converted,Small,,2025-07-20,2025-07-20,,,monthly,74,200,200,GBP,paid,2025-07-20T16:26:00
se_000048,co_0006,renewal,Small,,2025-08-20,2025-08-20,,,monthly,74,200,200,GBP,paid,2025-08-20T13:30:00
se_000049,co_0006,renewal,Small,,2025-09-20,2025-09-20,,,monthly,74,200,200,GBP,paid,2025-09-20T19:59:00
se_000050,co_0006,renewal,Small,,2025-10-20,2025-10-20,,,monthly,74,200,200,GBP,paid,2025-10-20T12:02:00
se_000051,co_0006,renewal,Small,,2025-11-20,2025-11-20,,,monthly,74,200,200,GBP,paid,2025-11-20T17:44:00
se_000052,co_0006,renewal,Small,,2025-12-20,2025-12-20,,,monthly,74,200,200,GBP,paid,2025-12-20T11:48:00
se_000053,co_0006,renewal,Small,,2026-01-20,2026-01-20,,,monthly,74,200,200,GBP,paid,2026-01-20T15:58:00
se_000054,co_0006,renewal,Small,,2026-02-20,2026-02-20,,,monthly,74,200,200,GBP,paid,2026-02-20T18:57:00
se_000055,co_0006,renewal,Small,,2026-03-20,2026-03-20,,,monthly,74,200,200,GBP,paid,2026-03-20T09:43:00
se_000056,co_0006,renewal,Small,,,2026-04-20,,,monthly,74,200,200,GBP,paid,2026-04-20T12:38:00
se_000057,co_0006,renewal,Small ,,2026-05-20,2026-05-20,,,monthly,74,200,200,GBP,paid,2026-05-20T13:47:00
se_000058,co_0006,renewal,Small,,2026-06-20,2026-06-20,,,monthly,74,200,200,GBP,paid,2026-06-20T08:50:00
se_000059,co_0007,trial_start,SMALL,,,,,2025-09-13,annual,55,0,0,GBP,not_applicable,2025-09-06T13:22:00
