usage_id,company_id,usage_datetime,credit_amount,usage_category,usage_subcategory,user_count_in_event,seat_count_at_time,academic_period,source_system,created_at
us_0000001,co_0001,2024-06-13T10:58:05,1.94,Theoretical,Maths,3,218,Summer 2024,app,2024-06-13T11:07:05
us_0000002,co_0001,2024-06-14T03:52:12,1.24,Theoretical,English,2,248,Summer 2024,partner_lms,2024-06-14T04:16:12
us_0000003,co_0001,2024-06-11T14:19:08,4.94,Technical,Exam Prep,5,243,Summer 2024,app,2024-06-11T15:15:08
us_0000004,co_0001,2024-06-13T05:38:41,1.72,Cognitive,Study Skills,4,245,Summer 2024,app,2024-06-13T06:07:41
us_0000005,co_0002,2024-09-08T09:25:14,1.5,Technical,Maths,1,29,Autumn 2024,partner_lms,2024-09-08T10:36:14
us_0000006,co_0002,2024-09-05T17:08:22,0.91,Theoretical,Science,1,23,Autumn 2024,app,2024-09-05T17:13:22
us_0000007,co_0002,2024-09-10T07:51:22,1.06,Technical,Exam Prep,1,30,Autumn 2024,app,2024-09-10T09:21:22
us_0000008,co_0002,2024-09-06T20:09:19,2.79,Cognitive,Study Skills,3,23,Autumn 2024,api,2024-09-06T20:20:19
us_0000009,co_0002,2024-09-09T04:07:31,0.89,Theoretical,Science,1,28,Autumn 2024,app,2024-09-09T04:21:31
us_0000010,co_0002,2024-09-26T08:24:10,1.97,Cognitive,English,1,22,Autumn 2024,app,2024-09-26T09:10:10
us_0000011,co_0002,2024-09-30T13:22:11,3.1,Technical,Geography,1,22,Autumn 2024,app,2024-09-30T14:34:11
us_0000012,co_0002,2024-09-25T12:35:49,4.57,Technical,Science,2,23,Autumn 2024,app,2024-09-25T13:52:49
us_0000013,co_0002,2024-10-23T11:19:21,5.01,Technical,History,2,21,Autumn 2024,app,2024-10-23T12:44:21
us_0000014,co_0002,2024-10-29T12:55:06,2.54,Technical,English,2,27,Autumn 2024,app,2024-10-29T13:38:06
us_0000015,co_0002,2024-10-31T17:33:01,0.64,Theoretical,History,1,25,Autumn 2024,app,2024-10-31T18:29:01
us_0000016,co_0002,2024-10-27T08:56:50,4.33,Technical,Science,1,25,Autumn 2024,partner_lms,2024-10-27T08:56:50
us_0000017,co_0002,2024-11-25T13:05:51,2.6,Technical,Languages,1,21,Autumn 2024,app,2024-11-25T13:05:51
us_0000018,co_0002,2024-11-16T21:25:27,5.86,Technical,Geography,2,21,Autumn 2024,app,2024-11-16T21:55:27
us_0000019,co_0002,2024-11-18T12:14:41,1.71,Technical,Study Skills,1,28,Autumn 2024,legacy_import,2024-11-18T13:36:41
us_0000020,co_0002,2025-01-18T15:01:13,10.1,Theoretical,Exam Prep,5,26,Spring 2025,partner_lms,2025-01-18T16:31:13
